nursery_id,item_code,common_name,scientific_name,description,container_size,container_type,quantity_available,wholesale_price,retail_price,location_code,category,plant_type,flower_color,published_height,published_spread,picture_1_url,sun_requirements,water_requirements,hardiness_zone,native_status,availability_date,notes
CHERRYLAKE,DIATA00FX001,Blueberry Flax Lily,Dianella tasmanica,"12"" X 5"" X 0"" /",1,Gallon,0,2.53,,FA,Wildflower,Shrub,,"12""","5""",https://cherrylake.com/images/web_photos/diata00fx001_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,DIATA00FX003,Blueberry Flax Lily,Dianella tasmanica,"18"" X 14"" X 0"" /",3,Gallon,335,5.5,,FA,Wildflower,Shrub,,"18""","14""",https://cherrylake.com/images/web_photos/diata00fx003_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,DIEVEAIFX001,African Iris White,Dietes iridioides,"12"" X 5"" X 0"" /",1,Gallon,0,2.81,,FA,Wildflower,Shrub,,"12""","5""",https://cherrylake.com/images/web_photos/dieveaifx001_a_1.jpg,Variable,Medium,,Non-native,,Origin: Africa
CHERRYLAKE,DURERGMFX003,Duranta 'Gold Mound',Duranta erecta 'Gold Mound',"7"" X 14"" X 0"" /",3,Gallon,167,5.75,,FA,Shrub,Shrub,,"7""","14""",https://cherrylake.com/images/web_photos/durergmfx003_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,ELADE00FC003,Japanese Blueberry FTG,,,3,Gallon,728,0.0,,FA,Production Overage,Tree,,,,https://cherrylake.com/images/web_photos/elade00fc003_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,ELADE00FC015,Japanese Blueberry FTG,Elaeocarpus decipiens FTG,"8' X 2.5' X 0"" / Thin body most consistent in spread and height.",15,Gallon,41,70.59,,FA,ELAEOCARPUS,Tree,,8',2.5',https://cherrylake.com/images/web_photos/elade00fc015_a_1.jpg,Variable,Medium,,Non-native,,Origin: East Asia
CHERRYLAKE,ELADE00FC015,Japanese Blueberry FTG,Elaeocarpus decipiens FTG,"6.5' X 2.5' X 1.75"" / Decent quality, not all consistent in height and spread.",15,Gallon,13,48.41,,FD,ELAEOCARPUS,Tree,,6.5',2.5',https://cherrylake.com/images/web_photos/elade00fc015_d_1.jpg,Variable,Medium,,Non-native,,"Availability: Limited Qty, Origin: East Asia"
CHERRYLAKE,ELADE00FC030,Japanese Blueberry FTG,Elaeocarpus decipiens FTG,"8' X 3' X 2"" / Small voids",30,Gallon,22,135.0,,FA,ELAEOCARPUS,Tree,,8',3',https://cherrylake.com/images/web_photos/elade00fc030_a_1.jpg,Variable,Medium,,Non-native,,"Availability: Limited Qty, Origin: East Asia"
CHERRYLAKE,ELADE00FC045,Japanese Blueberry FTG,Elaeocarpus decipiens FTG,"10' X 5' X 2.5"" / full canopy",45,Gallon,240,250.0,,FA,ELAEOCARPUS,Tree,,10',5',https://cherrylake.com/images/web_photos/elade00fc045_a_1.jpg,Variable,Medium,,Non-native,,Origin: East Asia
CHERRYLAKE,ELADE00FC045,Japanese Blueberry FTG,Elaeocarpus decipiens FTG,"10' X 5' X 2.5"" / Consistent high",45,Gallon,71,205.0,,FP,ELAEOCARPUS,Tree,,10',5',https://cherrylake.com/images/web_photos/elade00fc045_p_1.jpg,Variable,Medium,,Non-native,,Origin: East Asia
CHERRYLAKE,ELADE00TC003,Japanese Blueberry,,,3,Gallon,331,0.0,,FA,Production Overage,Tree,,,,https://cherrylake.com/images/web_photos/elade00tc003_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,ELADE00TC030,Japanese Blueberry CT,Elaeocarpus decipiens CT,"10' X 3' X 2"" / Bowed trunk, small voids",30,Gallon,264,160.0,,FA,Elaeocarpus,Tree,,10',3',https://cherrylake.com/images/web_photos/elade00tc030_a_1.jpg,Variable,Medium,,Non-native,,Origin: East Asia
CHERRYLAKE,ELADE00TC030,Japanese Blueberry CT,Elaeocarpus decipiens CT,"9' X 4' X 2"" / Inconsistent heights, small-medium voids, trunk scars, bowed trunk",30,Gallon,55,102.0,,FD,Elaeocarpus,Tree,,9',4',https://cherrylake.com/images/web_photos/elade00tc030_d_1.jpg,Variable,Medium,,Non-native,,Origin: East Asia
